,Country,City,country_city
103760,United States,Pageland,"Pageland, United states"
103761,United States,Pagosa Springs,"Pagosa Springs, United states"
103762,United States,Pahokee,"Pahokee, United states"
103763,United States,Pahrump,"Pahrump, United states"
103764,United States,Paicines,"Paicines, United states"
103765,United States,Paimiut,"Paimiut, United states"
103766,United States,Paincourtville,"Paincourtville, United states"
103767,United States,Painesville,"Painesville, United states"
103768,United States,Paint Rock,"Paint Rock, United states"
103769,United States,Painted Post,"Painted Post, United states"
103770,United States,Painter,"Painter, United states"
103771,United States,Painter Creek,"Painter Creek, United states"
103772,United States,Paintsville,"Paintsville, United states"
103773,United States,Paisley,"Paisley, United states"
103774,United States,Pajaro,"Pajaro, United states"
103775,United States,Pala,"Pala, United states"
103776,United States,Palacios,"Palacios, United states"
103777,United States,Palatine,"Palatine, United states"
103778,United States,Palatine Bridge,"Palatine Bridge, United states"
103779,United States,Palatka,"Palatka, United states"
103780,United States,Palenville,"Palenville, United states"
103781,United States,Palermo,"Palermo, United states"
103782,United States,Palestine,"Palestine, United states"
103783,United States,Palestine,"Palestine, United states"
103784,United States,Palestine,"Palestine, United states"
103785,United States,Palisade,"Palisade, United states"
103786,United States,Palisade,"Palisade, United states"
103787,United States,Palisade,"Palisade, United states"
103788,United States,Palisades,"Palisades, United states"
103789,United States,Palisades Park,"Palisades Park, United states"
103790,United States,Palm,"Palm, United states"
103791,United States,Palm Bay,"Palm Bay, United states"
103792,United States,Palm Beach,"Palm Beach, United states"
103793,United States,Palm Beach Gardens,"Palm Beach Gardens, United states"
103794,United States,Palm City,"Palm City, United states"
103795,United States,Palm Coast,"Palm Coast, United states"
103796,United States,Palm Desert,"Palm Desert, United states"
103797,United States,Palm Harbor,"Palm Harbor, United states"
103798,United States,Palm Springs,"Palm Springs, United states"
103799,United States,Palm Springs,"Palm Springs, United states"
103800,United States,Palmdale,"Palmdale, United states"
103801,United States,Palmdale,"Palmdale, United states"
103802,United States,Palmer,"Palmer, United states"
103803,United States,Palmer,"Palmer, United states"
103804,United States,Palmer,"Palmer, United states"
103805,United States,Palmer,"Palmer, United states"
103806,United States,Palmer,"Palmer, United states"
103807,United States,Palmer Lake,"Palmer Lake, United states"
103808,United States,Palmerton,"Palmerton, United states"
103809,United States,Palmertown,"Palmertown, United states"
103810,United States,Palmetto,"Palmetto, United states"
103811,United States,Palmetto,"Palmetto, United states"
103812,United States,Palmetto Bay,"Palmetto Bay, United states"
103813,United States,"Palmetto, Bossier","Palmetto, Bossier, United states"
103814,United States,"Palmetto, Saint Landry","Palmetto, Saint Landry, United states"
103815,United States,Palmview,"Palmview, United states"
103816,United States,Palmyra,"Palmyra, United states"
103817,United States,Palmyra,"Palmyra, United states"
103818,United States,Palmyra,"Palmyra, United states"
103819,United States,Palmyra,"Palmyra, United states"
103820,United States,Palmyra,"Palmyra, United states"
103821,United States,Palmyra,"Palmyra, United states"
103822,United States,Palmyra,"Palmyra, United states"
103823,United States,Palmyra,"Palmyra, United states"
103824,United States,Palmyra,"Palmyra, United states"
103825,United States,Palo,"Palo, United states"
103826,United States,Palo Alto,"Palo Alto, United states"
103827,United States,Palo Cedro,"Palo Cedro, United states"
103828,United States,Palo Pinto,"Palo Pinto, United states"
103829,United States,Palomar Mountain,"Palomar Mountain, United states"
103830,United States,Palos Heights,"Palos Heights, United states"
103831,United States,Palos Hills,"Palos Hills, United states"
103832,United States,Palos Park,"Palos Park, United states"
103833,United States,Palos Verdes Estates,"Palos Verdes Estates, United states"
103834,United States,Palouse,"Palouse, United states"
103835,United States,Pampa,"Pampa, United states"
103836,United States,Pamplico,"Pamplico, United states"
103837,United States,Pamplin,"Pamplin, United states"
103838,United States,Pana,"Pana, United states"
103839,United States,Panaca,"Panaca, United states"
103840,United States,Panama,"Panama, United states"
103841,United States,Panama,"Panama, United states"
103842,United States,Panama,"Panama, United states"
103843,United States,Panama City,"Panama City, United states"
103844,United States,Panama City Beach,"Panama City Beach, United states"
103845,United States,Pandora,"Pandora, United states"
103846,United States,Panguitch,"Panguitch, United states"
103847,United States,"Panhandle, Carson","Panhandle, Carson, United states"
103848,United States,"Panhandle, Cass","Panhandle, Cass, United states"
103849,United States,Panora,"Panora, United states"
103850,United States,Panorama City,"Panorama City, United states"
103851,United States,Pantego,"Pantego, United states"
103852,United States,Pantego,"Pantego, United states"
103853,United States,Paoli,"Paoli, United states"
103854,United States,Paoli,"Paoli, United states"
103855,United States,Paoli,"Paoli, United states"
103856,United States,Paonia,"Paonia, United states"
103857,United States,Papillion,"Papillion, United states"
103858,United States,Parachute,"Parachute, United states"
103859,United States,Paradise,"Paradise, United states"
103860,United States,Paradise,"Paradise, United states"
103861,United States,Paradise,"Paradise, United states"
103862,United States,Paradise,"Paradise, United states"
103863,United States,Paradise Valley,"Paradise Valley, United states"
103864,United States,Paradise Valley,"Paradise Valley, United states"
103865,United States,Paragon,"Paragon, United states"
103866,United States,Paragould,"Paragould, United states"
103867,United States,Paramount,"Paramount, United states"
103868,United States,Paramus,"Paramus, United states"
103869,United States,Parchment,"Parchment, United states"
103870,United States,Pardeeville,"Pardeeville, United states"
103871,United States,Paris,"Paris, United states"
103872,United States,Paris,"Paris, United states"
103873,United States,Paris,"Paris, United states"
103874,United States,Paris,"Paris, United states"
103875,United States,Paris,"Paris, United states"
103876,United States,Paris,"Paris, United states"
103877,United States,Parish,"Parish, United states"
103878,United States,Parish,"Parish, United states"
103879,United States,Park,"Park, United states"
103880,United States,Park City,"Park City, United states"
103881,United States,Park City,"Park City, United states"
103882,United States,Park City,"Park City, United states"
103883,United States,Park City,"Park City, United states"
103884,United States,Park Falls,"Park Falls, United states"
103885,United States,Park Forest,"Park Forest, United states"
103886,United States,Park Hill,"Park Hill, United states"
103887,United States,Park Hills,"Park Hills, United states"
103888,United States,Park Junction,"Park Junction, United states"
103889,United States,Park Rapids,"Park Rapids, United states"
103890,United States,Park Ridge,"Park Ridge, United states"
103891,United States,Park Ridge,"Park Ridge, United states"
103892,United States,Parker,"Parker, United states"
103893,United States,Parker,"Parker, United states"
103894,United States,Parker,"Parker, United states"
103895,United States,Parker,"Parker, United states"
103896,United States,Parker,"Parker, United states"
103897,United States,Parker Ford,"Parker Ford, United states"
103898,United States,Parkers Lake,"Parkers Lake, United states"
103899,United States,Parkersburg,"Parkersburg, United states"
103900,United States,Parkesburg,"Parkesburg, United states"
103901,United States,Parkfield,"Parkfield, United states"
103902,United States,Parkland,"Parkland, United states"
103903,United States,Parkman,"Parkman, United states"
103904,United States,Parkridge,"Parkridge, United states"
103905,United States,Parkrose,"Parkrose, United states"
103906,United States,Parks,"Parks, United states"
103907,United States,Parks,"Parks, United states"
103908,United States,Parksley,"Parksley, United states"
103909,United States,Parkston,"Parkston, United states"
103910,United States,Parkton,"Parkton, United states"
103911,United States,Parkton,"Parkton, United states"
103912,United States,Parkville,"Parkville, United states"
103913,United States,Parkville,"Parkville, United states"
103914,United States,Parkwater-Spokane,"Parkwater-Spokane, United states"
103915,United States,Parkwood,"Parkwood, United states"
103916,United States,Parlier,"Parlier, United states"
103917,United States,Parlin,"Parlin, United states"
103918,United States,Parma,"Parma, United states"
103919,United States,Parma,"Parma, United states"
103920,United States,Parma,"Parma, United states"
103921,United States,Parma,"Parma, United states"
103922,United States,Parnassus,"Parnassus, United states"
103923,United States,Parnell,"Parnell, United states"
103924,United States,Paron,"Paron, United states"
103925,United States,Parowan,"Parowan, United states"
103926,United States,Parris Island,"Parris Island, United states"
103927,United States,Parrish,"Parrish, United states"
103928,United States,Parrish,"Parrish, United states"
103929,United States,Parrottsville,"Parrottsville, United states"
103930,United States,Parshall,"Parshall, United states"
103931,United States,Parsippany,"Parsippany, United states"
103932,United States,Parsons,"Parsons, United states"
103933,United States,Parsons,"Parsons, United states"
103934,United States,Parsons,"Parsons, United states"
103935,United States,Parsonsburg,"Parsonsburg, United states"
103936,United States,Parsonsfield,"Parsonsfield, United states"
103937,United States,Pasadena,"Pasadena, United states"
103938,United States,Pasadena,"Pasadena, United states"
103939,United States,Pasadena,"Pasadena, United states"
103940,United States,Pascagoula,"Pascagoula, United states"
103941,United States,Pasco,"Pasco, United states"
103942,United States,Pascoag,"Pascoag, United states"
103943,United States,Paso Robles,"Paso Robles, United states"
103944,United States,Pass Christian,"Pass Christian, United states"
103945,United States,Passadumkeag,"Passadumkeag, United states"
103946,United States,Passaic,"Passaic, United states"
103947,United States,Pataskala,"Pataskala, United states"
103948,United States,Patchogue,"Patchogue, United states"
103949,United States,Patel,"Patel, United states"
103950,United States,Pateros,"Pateros, United states"
103951,United States,Paterson,"Paterson, United states"
103952,United States,Paterson,"Paterson, United states"
103953,United States,Patoka,"Patoka, United states"
103954,United States,Patoka,"Patoka, United states"
103955,United States,Paton,"Paton, United states"
103956,United States,Patrick,"Patrick, United states"
103957,United States,Patrick Springs,"Patrick Springs, United states"
103958,United States,Patriot,"Patriot, United states"
103959,United States,Patten,"Patten, United states"
103960,United States,Patterson,"Patterson, United states"
103961,United States,Patterson,"Patterson, United states"
103962,United States,Patterson,"Patterson, United states"
103963,United States,Patterson,"Patterson, United states"
103964,United States,Patterson,"Patterson, United states"
103965,United States,Patterson,"Patterson, United states"
103966,United States,Patterson,"Patterson, United states"
103967,United States,Patterson-Morgan City Apt,"Patterson-Morgan City Apt, United states"
103968,United States,Pattison,"Pattison, United states"
103969,United States,Patton,"Patton, United states"
103970,United States,Patton,"Patton, United states"
103971,United States,Pattonsburg,"Pattonsburg, United states"
103972,United States,Patuxent River,"Patuxent River, United states"
103973,United States,Paul,"Paul, United states"
103974,United States,Paulden,"Paulden, United states"
103975,United States,Paulding,"Paulding, United states"
103976,United States,Pauline,"Pauline, United states"
103977,United States,Pauline,"Pauline, United states"
103978,United States,Paullina,"Paullina, United states"
103979,United States,Pauloff Harbor,"Pauloff Harbor, United states"
103980,United States,Pauls Valley,"Pauls Valley, United states"
103981,United States,Paulsboro,"Paulsboro, United states"
103982,United States,Pauma Valley,"Pauma Valley, United states"
103983,United States,Pavilion,"Pavilion, United states"
103984,United States,Pavo,"Pavo, United states"
103985,United States,Paw Creek,"Paw Creek, United states"
103986,United States,Paw Paw,"Paw Paw, United states"
103987,United States,Paw Paw,"Paw Paw, United states"
103988,United States,Pawcatuck,"Pawcatuck, United states"
103989,United States,Pawhuska,"Pawhuska, United states"
103990,United States,Pawlet,"Pawlet, United states"
103991,United States,Pawleys Island,"Pawleys Island, United states"
103992,United States,Pawling,"Pawling, United states"
103993,United States,Pawnee,"Pawnee, United states"
103994,United States,Pawnee,"Pawnee, United states"
103995,United States,Pawnee City,"Pawnee City, United states"
103996,United States,Pawtucket,"Pawtucket, United states"
103997,United States,Pax,"Pax, United states"
103998,United States,Paxico,"Paxico, United states"
103999,United States,Paxinos,"Paxinos, United states"
104000,United States,Paxson,"Paxson, United states"
104001,United States,Paxton,"Paxton, United states"
104002,United States,Paxton,"Paxton, United states"
104003,United States,Paxton,"Paxton, United states"
104004,United States,Paxville,"Paxville, United states"
104005,United States,Payette,"Payette, United states"
104006,United States,Payne,"Payne, United states"
104007,United States,Paynesville,"Paynesville, United states"
104008,United States,Payson,"Payson, United states"
104009,United States,Payson,"Payson, United states"
104010,United States,Pea Ridge,"Pea Ridge, United states"
104011,United States,Peabody,"Peabody, United states"
104012,United States,Peabody,"Peabody, United states"
104013,United States,Peace Dale,"Peace Dale, United states"
104014,United States,Peace Valley,"Peace Valley, United states"
104015,United States,Peach Bottom,"Peach Bottom, United states"
104016,United States,Peach Glen,"Peach Glen, United states"
104017,United States,Peach Springs,"Peach Springs, United states"
104018,United States,Peacham,"Peacham, United states"
104019,United States,Peachland,"Peachland, United states"
104020,United States,Peachtree City,"Peachtree City, United states"
104021,United States,Peachtree Corners,"Peachtree Corners, United states"
104022,United States,Peapack,"Peapack, United states"
104023,United States,Pearce,"Pearce, United states"
104024,United States,Pearcy,"Pearcy, United states"
104025,United States,Pearisburg,"Pearisburg, United states"
104026,United States,Pearl,"Pearl, United states"
104027,United States,Pearl City,"Pearl City, United states"
104028,United States,Pearl City (Oahu),"Pearl City (Oahu), United states"
104029,United States,Pearl Harbor,"Pearl Harbor, United states"
104030,United States,Pearl River,"Pearl River, United states"
104031,United States,Pearl River,"Pearl River, United states"
104032,United States,Pearland,"Pearland, United states"
104033,United States,Pearlington,"Pearlington, United states"
104034,United States,Pearsall,"Pearsall, United states"
104035,United States,Pearson,"Pearson, United states"
104036,United States,Pearson,"Pearson, United states"
104037,United States,Pease,"Pease, United states"
104038,United States,Pebble Beach,"Pebble Beach, United states"
104039,United States,Pecatonica,"Pecatonica, United states"
104040,United States,Peck,"Peck, United states"
104041,United States,Pecksville,"Pecksville, United states"
104042,United States,Peckville,"Peckville, United states"
104043,United States,Peconic,"Peconic, United states"
104044,United States,Pecos,"Pecos, United states"
104045,United States,Peculiar,"Peculiar, United states"
104046,United States,Pedley,"Pedley, United states"
104047,United States,Pedricktown,"Pedricktown, United states"
104048,United States,Pedro Bay,"Pedro Bay, United states"
104049,United States,Peebles,"Peebles, United states"
104050,United States,Peekskill,"Peekskill, United states"
104051,United States,Peetz,"Peetz, United states"
104052,United States,Pejepscot,"Pejepscot, United states"
104053,United States,Pekin,"Pekin, United states"
104054,United States,Pekin,"Pekin, United states"
104055,United States,Pelahatchie,"Pelahatchie, United states"
104056,United States,Pelham,"Pelham, United states"
104057,United States,Pelham,"Pelham, United states"
104058,United States,Pelham,"Pelham, United states"
104059,United States,Pelham,"Pelham, United states"
104060,United States,Pelham,"Pelham, United states"
104061,United States,Pelham,"Pelham, United states"
104062,United States,Pelham Manor,"Pelham Manor, United states"
104063,United States,Pelican,"Pelican, United states"
104064,United States,Pelican,"Pelican, United states"
104065,United States,Pelican Rapids,"Pelican Rapids, United states"
104066,United States,Pelion,"Pelion, United states"
104067,United States,Pelkie,"Pelkie, United states"
104068,United States,Pell City,"Pell City, United states"
104069,United States,Pella,"Pella, United states"
104070,United States,Pellston,"Pellston, United states"
104071,United States,Pelzer,"Pelzer, United states"
104072,United States,Pemberville,"Pemberville, United states"
104073,United States,Pembina,"Pembina, United states"
104074,United States,Pembine,"Pembine, United states"
104075,United States,Pembroke,"Pembroke, United states"
104076,United States,Pembroke,"Pembroke, United states"
104077,United States,Pembroke,"Pembroke, United states"
104078,United States,Pembroke,"Pembroke, United states"
104079,United States,Pembroke,"Pembroke, United states"
104080,United States,Pembroke,"Pembroke, United states"
104081,United States,Pembroke Park,"Pembroke Park, United states"
104082,United States,Pembroke Pines,"Pembroke Pines, United states"
104083,United States,Pen Argyl,"Pen Argyl, United states"
104084,United States,Penacook,"Penacook, United states"
104085,United States,Penasco,"Penasco, United states"
104086,United States,Pendergrass,"Pendergrass, United states"
104087,United States,Pendleton,"Pendleton, United states"
104088,United States,Pendleton,"Pendleton, United states"
104089,United States,Pendleton,"Pendleton, United states"
104090,United States,Pendleton,"Pendleton, United states"
104091,United States,Pendleton,"Pendleton, United states"
104092,United States,Pendroy,"Pendroy, United states"
104093,United States,Penfield,"Penfield, United states"
104094,United States,Penfield,"Penfield, United states"
104095,United States,Peninsula,"Peninsula, United states"
104096,United States,Penitas,"Penitas, United states"
104097,United States,Penn Run,"Penn Run, United states"
104098,United States,Penn Valley,"Penn Valley, United states"
104099,United States,Penn Yan,"Penn Yan, United states"
104100,United States,Penndel,"Penndel, United states"
104101,United States,Penngrove,"Penngrove, United states"
104102,United States,Pennington,"Pennington, United states"
104103,United States,Pennington,"Pennington, United states"
104104,United States,Pennington,"Pennington, United states"
104105,United States,Pennington Gap,"Pennington Gap, United states"
104106,United States,Pennock,"Pennock, United states"
104107,United States,Penns Grove,"Penns Grove, United states"
104108,United States,Pennsauken,"Pennsauken, United states"
104109,United States,Pennsboro,"Pennsboro, United states"
104110,United States,Pennsburg,"Pennsburg, United states"
104111,United States,Pennsdale,"Pennsdale, United states"
104112,United States,Pennsville,"Pennsville, United states"
104113,United States,Pennsylvania Furnace,"Pennsylvania Furnace, United states"
104114,United States,Penobscot,"Penobscot, United states"
104115,United States,Penrose,"Penrose, United states"
104116,United States,Penrose,"Penrose, United states"
104117,United States,Pensacola,"Pensacola, United states"
104118,United States,Pensacola Beach,"Pensacola Beach, United states"
104119,United States,Pentwater,"Pentwater, United states"
104120,United States,Penwell,"Penwell, United states"
104121,United States,Peoria,"Peoria, United states"
104122,United States,Peoria,"Peoria, United states"
104123,United States,Peoria,"Peoria, United states"
104124,United States,Peoria,"Peoria, United states"
104125,United States,Peoria Heights,"Peoria Heights, United states"
104126,United States,Peosta,"Peosta, United states"
104127,United States,Peotone,"Peotone, United states"
104128,United States,Pepin,"Pepin, United states"
104129,United States,Pepper Pike,"Pepper Pike, United states"
104130,United States,Pepperell,"Pepperell, United states"
104131,United States,Pequannock,"Pequannock, United states"
104132,United States,Pequea,"Pequea, United states"
104133,United States,Pequot Lakes,"Pequot Lakes, United states"
104134,United States,Peralta,"Peralta, United states"
104135,United States,Perdue Hill,"Perdue Hill, United states"
104136,United States,Perham,"Perham, United states"
104137,United States,Perham,"Perham, United states"
104138,United States,Perkasie,"Perkasie, United states"
104139,United States,Perkins,"Perkins, United states"
104140,United States,Perkins,"Perkins, United states"
104141,United States,Perkinston,"Perkinston, United states"
104142,United States,Perkinsville,"Perkinsville, United states"
104143,United States,Perkiomenville,"Perkiomenville, United states"
104144,United States,Perrine,"Perrine, United states"
104145,United States,Perrineville,"Perrineville, United states"
104146,United States,Perrinton,"Perrinton, United states"
104147,United States,Perris,"Perris, United states"
104148,United States,Perry,"Perry, United states"
104149,United States,Perry,"Perry, United states"
104150,United States,Perry,"Perry, United states"
104151,United States,Perry,"Perry, United states"
104152,United States,Perry,"Perry, United states"
104153,United States,Perry,"Perry, United states"
104154,United States,Perry,"Perry, United states"
104155,United States,Perry,"Perry, United states"
104156,United States,Perry,"Perry, United states"
104157,United States,Perry Hall,"Perry Hall, United states"
104158,United States,Perry Island,"Perry Island, United states"
104159,United States,Perryman,"Perryman, United states"
104160,United States,Perryopolis,"Perryopolis, United states"
104161,United States,Perrysburg,"Perrysburg, United states"
104162,United States,Perrysville,"Perrysville, United states"
104163,United States,Perryton,"Perryton, United states"
104164,United States,Perryville,"Perryville, United states"
104165,United States,Perryville,"Perryville, United states"
104166,United States,Perryville,"Perryville, United states"
104167,United States,Perth Amboy,"Perth Amboy, United states"
104168,United States,Peru,"Peru, United states"
104169,United States,Peru,"Peru, United states"
104170,United States,Peru,"Peru, United states"
104171,United States,Peru,"Peru, United states"
104172,United States,Peru,"Peru, United states"
104173,United States,Pescadero,"Pescadero, United states"
104174,United States,Peshastin,"Peshastin, United states"
104175,United States,Peshtigo,"Peshtigo, United states"
104176,United States,Petal,"Petal, United states"
104177,United States,Petaluma,"Petaluma, United states"
104178,United States,Peterborough,"Peterborough, United states"
104179,United States,Peterman,"Peterman, United states"
104180,United States,Petersboro,"Petersboro, United states"
104181,United States,Petersburg,"Petersburg, United states"
104182,United States,Petersburg,"Petersburg, United states"
104183,United States,Petersburg,"Petersburg, United states"
104184,United States,Petersburg,"Petersburg, United states"
104185,United States,Petersburg,"Petersburg, United states"
104186,United States,Petersburg,"Petersburg, United states"
104187,United States,Petersburg,"Petersburg, United states"
104188,United States,Petersburg,"Petersburg, United states"
104189,United States,Petersburg,"Petersburg, United states"
104190,United States,Petersburg,"Petersburg, United states"
104191,United States,Petersburg,"Petersburg, United states"
104192,United States,Petersburg,"Petersburg, United states"
104193,United States,"Petersburg, Menard","Petersburg, Menard, United states"
104194,United States,Petersham,"Petersham, United states"
104195,United States,Peterson's Point,"Peterson's Point, United states"
104196,United States,Petoskey,"Petoskey, United states"
104197,United States,Petroleum,"Petroleum, United states"
104198,United States,Petrolia,"Petrolia, United states"
104199,United States,Petrolia,"Petrolia, United states"
104200,United States,Petrolia,"Petrolia, United states"
104201,United States,Pettisville,"Pettisville, United states"
104202,United States,Petty,"Petty, United states"
104203,United States,Pevely,"Pevely, United states"
104204,United States,Pewamo,"Pewamo, United states"
104205,United States,Pewaukee,"Pewaukee, United states"
104206,United States,Pewee Valley,"Pewee Valley, United states"
104207,United States,Peyton,"Peyton, United states"
104208,United States,Pfafftown,"Pfafftown, United states"
104209,United States,Pflugerville,"Pflugerville, United states"
104210,United States,Pharr,"Pharr, United states"
104211,United States,Phelan,"Phelan, United states"
104212,United States,Phelps,"Phelps, United states"
104213,United States,Phelps,"Phelps, United states"
104214,United States,Phenix City,"Phenix City, United states"
104215,United States,Phil Campbell,"Phil Campbell, United states"
104216,United States,Philadelphia,"Philadelphia, United states"
104217,United States,Philadelphia,"Philadelphia, United states"
104218,United States,Philadelphia,"Philadelphia, United states"
104219,United States,Philadelphia North East Apt,"Philadelphia North East Apt, United states"
104220,United States,Philip,"Philip, United states"
104221,United States,Philippi,"Philippi, United states"
104222,United States,Philipsburg,"Philipsburg, United states"
104223,United States,Philipsburg,"Philipsburg, United states"
104224,United States,Phillips,"Phillips, United states"
104225,United States,Phillips,"Phillips, United states"
104226,United States,Phillips,"Phillips, United states"
104227,United States,Phillipsburg,"Phillipsburg, United states"
104228,United States,Phillipsburg,"Phillipsburg, United states"
104229,United States,Phillipsburg,"Phillipsburg, United states"
104230,United States,Phillipsburg,"Phillipsburg, United states"
104231,United States,Phillipston,"Phillipston, United states"
104232,United States,Philmont,"Philmont, United states"
104233,United States,Philo,"Philo, United states"
104234,United States,Philo,"Philo, United states"
104235,United States,Philomath,"Philomath, United states"
104236,United States,Philpot,"Philpot, United states"
104237,United States,Phippsburg,"Phippsburg, United states"
104238,United States,Phoenicia,"Phoenicia, United states"
104239,United States,Phoenix,"Phoenix, United states"
104240,United States,Phoenix,"Phoenix, United states"
104241,United States,Phoenix,"Phoenix, United states"
104242,United States,Phoenix,"Phoenix, United states"
104243,United States,Phoenix,"Phoenix, United states"
104244,United States,Phoenix,"Phoenix, United states"
104245,United States,Phoenix Township,"Phoenix Township, United states"
104246,United States,Phoenixville,"Phoenixville, United states"
104247,United States,Picacho,"Picacho, United states"
104248,United States,Picatinny Arsenal,"Picatinny Arsenal, United states"
104249,United States,Picayune,"Picayune, United states"
104250,United States,Picher,"Picher, United states"
104251,United States,Pickens,"Pickens, United states"
104252,United States,Pickensville,"Pickensville, United states"
104253,United States,Pickering,"Pickering, United states"
104254,United States,Pickerington,"Pickerington, United states"
104255,United States,Pickstown,"Pickstown, United states"
104256,United States,Pico Rivera,"Pico Rivera, United states"
104257,United States,Piedmont,"Piedmont, United states"
104258,United States,Piedmont,"Piedmont, United states"
104259,United States,Piedmont,"Piedmont, United states"
104260,United States,Piedmont,"Piedmont, United states"
104261,United States,Piedmont,"Piedmont, United states"
104262,United States,Piedmont,"Piedmont, United states"
104263,United States,Piedmont,"Piedmont, United states"
104264,United States,Piegan,"Piegan, United states"
104265,United States,Pierce,"Pierce, United states"
104266,United States,Pierce,"Pierce, United states"
104267,United States,Pierce City,"Pierce City, United states"
104268,United States,Pierceton,"Pierceton, United states"
104269,United States,Piercy,"Piercy, United states"
104270,United States,Piermont,"Piermont, United states"
104271,United States,Piermont,"Piermont, United states"
104272,United States,Pierre,"Pierre, United states"
104273,United States,Pierre Part,"Pierre Part, United states"
104274,United States,Pierson,"Pierson, United states"
104275,United States,Pierz,"Pierz, United states"
104276,United States,Piffard,"Piffard, United states"
104277,United States,Pigeon,"Pigeon, United states"
104278,United States,Pigeon Falls,"Pigeon Falls, United states"
104279,United States,Pigeon Forge,"Pigeon Forge, United states"
104280,United States,Piggott,"Piggott, United states"
104281,United States,Pike Road,"Pike Road, United states"
104282,United States,Pikesville,"Pikesville, United states"
104283,United States,Piketon,"Piketon, United states"
104284,United States,Pikeville,"Pikeville, United states"
104285,United States,Pikeville,"Pikeville, United states"
104286,United States,Pikeville,"Pikeville, United states"
104287,United States,Pillager,"Pillager, United states"
104288,United States,Pillow,"Pillow, United states"
104289,United States,Pilot Mountain,"Pilot Mountain, United states"
104290,United States,Pilot Point,"Pilot Point, United states"
104291,United States,Pilot Point,"Pilot Point, United states"
104292,United States,Pilot Station,"Pilot Station, United states"
104293,United States,Pilottown,"Pilottown, United states"
104294,United States,Pima,"Pima, United states"
104295,United States,Pimento,"Pimento, United states"
104296,United States,Pinckard,"Pinckard, United states"
104297,United States,Pinckneyville,"Pinckneyville, United states"
104298,United States,Pinconning,"Pinconning, United states"
104299,United States,Pine,"Pine, United states"
104300,United States,Pine,"Pine, United states"
104301,United States,Pine Apple,"Pine Apple, United states"
104302,United States,Pine Bluff,"Pine Bluff, United states"
104303,United States,Pine Bluffs,"Pine Bluffs, United states"
104304,United States,Pine Brook,"Pine Brook, United states"
104305,United States,Pine Bush,"Pine Bush, United states"
104306,United States,Pine Castle,"Pine Castle, United states"
104307,United States,Pine City,"Pine City, United states"
104308,United States,Pine City,"Pine City, United states"
104309,United States,Pine Cove,"Pine Cove, United states"
104310,United States,Pine Forge,"Pine Forge, United states"
104311,United States,Pine Grove,"Pine Grove, United states"
104312,United States,Pine Grove,"Pine Grove, United states"
104313,United States,"Pine Grove, Clearfield","Pine Grove, Clearfield, United states"
104314,United States,Pine Hall,"Pine Hall, United states"
104315,United States,Pine Hill,"Pine Hill, United states"
104316,United States,Pine Hill,"Pine Hill, United states"
104317,United States,Pine Island,"Pine Island, United states"
104318,United States,Pine Island,"Pine Island, United states"
104319,United States,Pine Knot,"Pine Knot, United states"
104320,United States,"Pine Level, Johnston","Pine Level, Johnston, United states"
104321,United States,Pine Mountain,"Pine Mountain, United states"
104322,United States,Pine Mountain Valley,"Pine Mountain Valley, United states"
104323,United States,Pine Plains,"Pine Plains, United states"
104324,United States,Pine Ridge,"Pine Ridge, United states"
104325,United States,Pine Rive,"Pine Rive, United states"
104326,United States,Pine River,"Pine River, United states"
104327,United States,Pine Valley,"Pine Valley, United states"
104328,United States,Pine Valley,"Pine Valley, United states"
104329,United States,Pinebluff,"Pinebluff, United states"
104330,United States,Pinecreek,"Pinecreek, United states"
104331,United States,Pinecrest,"Pinecrest, United states"
104332,United States,Pinedale,"Pinedale, United states"
104333,United States,Pinedale,"Pinedale, United states"
104334,United States,Pinedale,"Pinedale, United states"
104335,United States,Pinehurst,"Pinehurst, United states"
104336,United States,Pinehurst,"Pinehurst, United states"
104337,United States,Pinehurst,"Pinehurst, United states"
104338,United States,Pinehurst,"Pinehurst, United states"
104339,United States,Pineland,"Pineland, United states"
104340,United States,Pineland,"Pineland, United states"
104341,United States,Pinellas Park,"Pinellas Park, United states"
104342,United States,Pinetop,"Pinetop, United states"
104343,United States,Pinetops,"Pinetops, United states"
104344,United States,Pineville,"Pineville, United states"
104345,United States,Pineville,"Pineville, United states"
104346,United States,Pineville,"Pineville, United states"
104347,United States,Pineville,"Pineville, United states"
104348,United States,Pineville,"Pineville, United states"
104349,United States,Pineville,"Pineville, United states"
104350,United States,Pineville,"Pineville, United states"
104351,United States,Pineville,"Pineville, United states"
104352,United States,Piney Flats,"Piney Flats, United states"
104353,United States,Piney Point,"Piney Point, United states"
104354,United States,Piney River,"Piney River, United states"
104355,United States,Pingree,"Pingree, United states"
104356,United States,Pingree Grove,"Pingree Grove, United states"
104357,United States,Pink Hill,"Pink Hill, United states"
104358,United States,Pinnacle,"Pinnacle, United states"
104359,United States,Pinole,"Pinole, United states"
104360,United States,Pinson,"Pinson, United states"
104361,United States,Pinson,"Pinson, United states"
104362,United States,Pinto,"Pinto, United states"
104363,United States,Pinto Island,"Pinto Island, United states"
104364,United States,Pinyon Pines,"Pinyon Pines, United states"
104365,United States,Pioche,"Pioche, United states"
104366,United States,Pioneer,"Pioneer, United states"
104367,United States,Pioneer,"Pioneer, United states"
104368,United States,"Pioneer, Amador","Pioneer, Amador, United states"
104369,United States,Piper City,"Piper City, United states"
